Mixing_Speed_RPM,Reducing_Agent_NaBH4,Reducing_Agent_ascorbic_acid,Reducing_Agent_citrate,Stabilizer_CTAB,Stabilizer_PEG,Stabilizer_PVP,Stabilizer_citrate,Precursor_Conc_mM,pH,Temperature_C,Reaction_Time_min,Particle_Size_nm,Zeta_Potential_mV,Polydispersity,Drug_Loading_Efficiency_%,Targeting_Efficiency_%,Cytotoxicity_%
0.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9352465823520764,6.0,97.0,5.0,32.0,0.029892435894262603,0.7308798002325091,1.0,1.0,0.1385710123970946
0.5109,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3286617497467156,10.0,76.0,5.0,24.0,0.28673126852698094,0.4480447687984628,1.0,0.6235508985556785,0.337036598305511
0.4618,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.9885408624455891,10.0,74.0,5.0,32.0,0.24402333925931324,0.37394683098873904,0.7966266649610855,0.7414981077746591,0.23984733631907085
0.9236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.036236156408891,10.0,86.0,5.0,29.0,0.09813840307529159,0.36461701881661823,1.0,0.9280019144181909,0.18946436656539553
0.9873,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9098080014087122,3.0,22.0,83.0,18.0,0.8439889935100268,0.06505764944070808,0.6589915416747286,0.3552404858621119,0.8816326530138702
0.8727,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.623813376406745,6.5,100.0,5.0,39.0,0.2804487056313978,0.1603402781004729,1.0,1.0,0.2505714394553443
0.9273,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.2527488591422737,11.0,66.0,6.0,21.0,0.24970908536386593,0.12575101227424945,0.7745093828440787,0.4934752969904237,0.4639545220750436
0.5745,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.037993176805661,8.0,76.0,5.0,34.0,0.21981987165790262,0.40802269000727487,0.5829856731384543,0.6851198591432465,0.31038067967741906
0.4009,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6836943669017008,11.0,76.0,5.0,29.0,0.2614978266675608,0.4539391144144468,1.0,0.9735348627254147,0.18531057269874557
0.1836,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.498318525360059,4.5,69.0,5.0,29.0,0.2461470424417349,0.7798201289264804,0.8152058988059813,0.5958852544521808,0.27132732523532044
0.1327,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.590174006029522,4.5,33.0,12.0,18.0,0.14528681595898463,0.6563512580613137,0.9735791444994403,0.4192789689928964,0.4331553263791951
0.23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.912624882314234,3.0,62.0,5.0,35.0,0.2758040426869236,0.7550979757827888,0.6780515752408595,0.7318993220106599,0.25485308817429336
0.23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.2459550661560104,5.5,98.0,5.0,50.0,0.2565856538618699,0.5886091864855151,0.6135363514703321,0.9600099735679671,0.34749736046745455
0.4173,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.283201205331352,3.0,62.0,5.0,19.0,0.2696954108335914,0.698447261234144,1.0,0.6847993151592436,0.34647977799373536
0.4964,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.261006473949768,10.5,33.0,20.0,15.0,0.09228258418561641,0.5166281447847471,0.8851005891214502,0.33522213092513187,0.6005228486286156
0.5682,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.9261656487608418,4.0,60.0,7.0,21.0,0.23481841964903,0.3433190240981411,0.8455495195950175,0.4240149751729877,0.468276387971466
0.82,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5386000368960178,9.0,74.0,5.0,18.0,0.2829230785195819,0.36455946169901465,0.815695549757837,0.4356380125812389,0.5176392576711725
